Name,Date,Prev_close,Close,Per_diff
NETFLTGILT,01-01-2020 00:00,20.25,20.27,0.098765432
NETFLTGILT,01-02-2020 00:00,20.27,20.8,2.614701529
NETFLTGILT,02-03-2020 00:00,20.8,20.97,0.817307692
NETFLTGILT,01-04-2020 00:00,20.97,21.31,1.621363853
NETFLTGILT,04-05-2020 00:00,21.31,21.99,3.190990145
NETFLTGILT,01-06-2020 00:00,21.99,21.73,-1.182355616
NETFLTGILT,01-07-2020 00:00,21.73,21.97,1.104463875
NETFLTGILT,03-08-2020 00:00,21.97,21.61,-1.638598088
NETFLTGILT,01-09-2020 00:00,21.61,21.91,1.388246182
NETFLTGILT,01-10-2020 00:00,21.91,22.28,1.688726609
NETFLTGILT,02-11-2020 00:00,22.28,22.35,0.314183124
NETFLTGILT,01-12-2020 00:00,22.35,22.46,0.492170022
NETFLTGILT,01-01-2021 00:00,22.46,22.44,-0.089047195
NETFLTGILT,01-02-2021 00:00,22.44,21.92,-2.317290553
NETFLTGILT,01-03-2021 00:00,21.92,22.16,1.094890511
NETFLTGILT,01-04-2021 00:00,22.16,22.33,0.767148014
NETFLTGILT,03-05-2021 00:00,22.33,22.48,0.671742051
NETFLTGILT,01-06-2021 00:00,22.48,22.52,0.177935943
NETFLTGILT,01-07-2021 00:00,22.52,22.46,-0.26642984
NETFLTGILT,02-08-2021 00:00,22.46,22.5,0.17809439
NETFLTGILT,01-09-2021 00:00,22.5,22.77,1.2
NETFLTGILT,01-10-2021 00:00,22.77,22.6,-0.746596399
NETFLTGILT,01-11-2021 00:00,22.6,22.85,1.10619469
NETFLTGILT,01-12-2021 00:00,22.85,22.81,-0.175054705
NETFLTGILT,03-01-2022 00:00,22.81,22.36,-1.972818939
NETFLTGILT,01-02-2022 00:00,22.36,22.27,-0.402504472
NETFMID150,01-01-2020 00:00,63.32,66.79,5.480101074
NETFMID150,01-02-2020 00:00,66.79,62.57,-6.318311124
NETFMID150,02-03-2020 00:00,62.57,46.7,-25.36359278
NETFMID150,01-04-2020 00:00,46.7,51.79,10.8993576
NETFMID150,04-05-2020 00:00,51.79,51.36,-0.830276115
NETFMID150,01-06-2020 00:00,51.36,56.63,10.26090343
NETFMID150,01-07-2020 00:00,56.63,58.67,3.60233092
NETFMID150,03-08-2020 00:00,58.67,64.62,10.14146923
NETFMID150,01-09-2020 00:00,64.62,65.14,0.804704426
NETFMID150,01-10-2020 00:00,65.14,65.09,-0.076757753
NETFMID150,02-11-2020 00:00,65.09,74.31,14.1650023
NETFMID150,01-12-2020 00:00,74.31,79.51,6.997712286
